Date,name,Scenario,Figure,Value,BusinessUnit,Factor
2/1/2019,Rate (Mt.EFH Km),Actual,Month,6512.41596,Geomining Innovations,1
2/1/2019,Rate (Mt.EFH Km),Actual,Year-To-Date,3448.19628,Mineral Extraction Technologies,1
2/1/2019,Utility (%),Actual,Month,81.6,Deep Earth Exploration Unit,1
2/1/2019,Utility (%),Plan,Year-To-Date,71.424,Deep Earth Exploration Unit,1
2/1/2019,Utility (%),Plan,Month,71.388,Deep Earth Exploration Unit,1
2/1/2019,Coal Dry Mining (Mt),Actual,Month,0.71772,Deep Earth Exploration Unit,1000000
2/1/2019,Coal Dry Mining (Mt),Plan,Year-To-Date,2.16648,Deep Earth Exploration Unit,1000000
2/1/2019,Coal Dry Mining (Mt),Plan,Month,1.02816,Deep Earth Exploration Unit,1000000
2/1/2019,Utility (%),Actual,Year-To-Date,86.4,Deep Earth Exploration Unit,1
2/1/2019,Rate (Mt.EFH Km),Actual,Month,3568.035,Mineral Extraction Technologies,1
2/1/2019,Coal Mined (Mt),Actual,Year-To-Date,13.51188,Deep Earth Exploration Unit,1000000
2/1/2019,Coal Mined (Mt),Actual,Month,5.79072,Deep Earth Exploration Unit,1000000
2/1/2019,Coal Mined (Mt),Plan,Year-To-Date,15.20316,Deep Earth Exploration Unit,1000000
2/1/2019,Coal Mined (Mt),Plan,Month,7.21512,Deep Earth Exploration Unit,1000000
2/1/2019,Coal Mined (Mt),Actual,Year-To-Date,2.04168,ACME,1000000
2/1/2019,Coal Mined (Mt),Actual,Month,1.00548,ACME,1000000
2/1/2019,Coal Mined (Mt),Plan,Year-To-Date,7.21512,ACME,1000000
2/1/2019,Coal Mined (Mt),Plan,Month,1.22568,ACME,1000000
2/1/2019,Yield (%),Actual,Year-To-Date,43.92,Deep Earth Exploration Unit,1
2/1/2019,Yield (%),Actual,Month,43.2,Deep Earth Exploration Unit,1
2/1/2019,Yield (%),Plan,Year-To-Date,51,Deep Earth Exploration Unit,1
2/1/2019,Yield (%),Plan,Month,51,Deep Earth Exploration Unit,1
2/1/2019,Coal Dry Mining (Mt),Actual,Year-To-Date,1.46088,Deep Earth Exploration Unit,1000000
2/1/2019,Drills per Hour (TOH),Actual,Month,27250.96248,Pacific Surface Mining Solutions,1
2/1/2019,Drills per Hour (TOH),Actual,Month,21135.04836,Geomining Innovations,1
2/1/2019,Drills per Hour (TOH),Actual,Month,211.87104,Deep Earth Exploration Unit,1
2/1/2019,Drills per Hour (TOH),Actual,Month,138.40116,ACME,1
2/1/2019,Drills per Hour (TOH),Actual,Month,4857.7428,Core Extraction Systems,1
2/1/2019,Drills per Hour (TOH),Actual,Month,7001.8068,Mineral Extraction Technologies,1
3/1/2019,Coal Mined (Mt),Actual,Year-To-Date,19.1316,Deep Earth Exploration Unit,1000000
3/1/2019,Coal Mined (Mt),Actual,Month,5.61972,Deep Earth Exploration Unit,1000000
3/1/2019,Coal Dry Mining (Mt),Plan,Month,1.13832,Deep Earth Exploration Unit,1000000
3/1/2019,Utility (%),Actual,Year-To-Date,81.6,Deep Earth Exploration Unit,1
3/1/2019,Utility (%),Actual,Month,87.6,Deep Earth Exploration Unit,1
3/1/2019,Utility (%),Plan,Year-To-Date,73.02,Deep Earth Exploration Unit,1
3/1/2019,Utility (%),Plan,Month,76.056,Deep Earth Exploration Unit,1
3/1/2019,Coal Mined (Mt),Plan,Year-To-Date,23.1912,Deep Earth Exploration Unit,1000000
3/1/2019,Coal Mined (Mt),Plan,Month,7.98804,Deep Earth Exploration Unit,1000000
3/1/2019,Coal Mined (Mt),Actual,Year-To-Date,3.42576,ACME,1000000
3/1/2019,Coal Mined (Mt),Actual,Month,1.38396,ACME,1000000
3/1/2019,Coal Mined (Mt),Plan,Year-To-Date,7.98804,ACME,1000000
3/1/2019,Coal Mined (Mt),Plan,Month,1.32,ACME,1000000
3/1/2019,Yield (%),Actual,Year-To-Date,42.72,Deep Earth Exploration Unit,1
3/1/2019,Yield (%),Actual,Month,40.8,Deep Earth Exploration Unit,1
3/1/2019,Yield (%),Plan,Year-To-Date,51,Deep Earth Exploration Unit,1
3/1/2019,Yield (%),Plan,Month,51,Deep Earth Exploration Unit,1
3/1/2019,Coal Dry Mining (Mt),Actual,Year-To-Date,2.31024,Deep Earth Exploration Unit,1000000
3/1/2019,Coal Dry Mining (Mt),Actual,Month,0.84936,Deep Earth Exploration Unit,1000000
3/1/2019,Coal Dry Mining (Mt),Plan,Year-To-Date,3.3048,Deep Earth Exploration Unit,1000000
3/1/2019,Drills per Hour (TOH),Actual,Month,7145.09844,Pacific Surface Mining Solutions,1
3/1/2019,Drills per Hour (TOH),Actual,Month,21973.01508,Geomining Innovations,1
3/1/2019,Drills per Hour (TOH),Actual,Month,223.49268,Deep Earth Exploration Unit,1
3/1/2019,Drills per Hour (TOH),Actual,Month,136.07208,ACME,1
3/1/2019,Drills per Hour (TOH),Actual,Month,4402.94784,Core Extraction Systems,1
3/1/2019,Drills per Hour (TOH),Actual,Month,6714.11496,Mineral Extraction Technologies,1
3/1/2019,Rate (Mt.EFH Km),Actual,Year-To-Date,6838.308,Geomining Innovations,1
3/1/2019,Rate (Mt.EFH Km),Actual,Month,7351.87872,Geomining Innovations,1
3/1/2019,Rate (Mt.EFH Km),Actual,Year-To-Date,3201.80688,Mineral Extraction Technologies,1
